Estación,Fecha,Estuario,Area,Latitud,Longitud,Estación,Temperatura,Salinidad,Oxigeno ,Clor-a,SDT
P1,26/04/2022,Laguna de Terminos,Rio,18.5024,-91.7884,Estiaje,28.97,9.36,7.5,3.97,-
P2,26/04/2022,Laguna de Terminos,Laguna media,18.558,-91.773,Estiaje,28.59,40,6.24,4.77,-
P3,26/04/2022,Laguna de Terminos,Laguna central,18.6093,-91.7582,Estiaje,28.5,43.8,5.75,4.42,-
CH1,26/04/2022,Laguna de Terminos,Rio,18.4799,-91.5415,Estiaje,29.29,38.59,6.82,2.74,-
CH2,26/04/2022,Laguna de Terminos,Laguna media,18.5488,-91.5782,Estiaje,29.048,40.8,6.66,1.22,-
CH3,26/04/2022,Laguna de Terminos,Laguna central,18.6216,-91.6182,Estiaje,30.27,42.3,6.91,1.34,-
C1,27/04/2022,Laguna de Terminos,Rio,18.6399,-91.3173,Estiaje,29.24,33.97,6.36,2.1,-
C2,27/04/2022,Laguna de Terminos,Laguna media,18.6858,-91.3792,Estiaje,28.8,40.96,6.43,2.79,-
C3,27/04/2022,Laguna de Terminos,Laguna central,18.732,-91.4467,Estiaje,28.56,39.34,6.61,7.3,-
PR,27/04/2022,Laguna de Terminos,Boca de la laguna,18.7735,-91.5072,Estiaje,28.3,45.88,5.75,0.99,-
DC,27/04/2022,Laguna de Terminos,Boca de la laguna,18.6268,-91.8497,Estiaje,28.92,33.99,7.06,2.36,-
P1,04/10/2022,Laguna de Terminos,Rio,18.5024,-91.7884,Lluvias,27.8,7.87,5.47,5.68,17.3
P2,04/10/2022,Laguna de Terminos,Laguna media,18.558,-91.773,Lluvias,28.69,20.65,6.21,4.13,6.27
P3,04/10/2022,Laguna de Terminos,Laguna central,18.6093,-91.7582,Lluvias,28.66,22.04,6.33,4.48,4.51
CH1,04/10/2022,Laguna de Terminos,Rio,18.4799,-91.5415,Lluvias,30.04,12.1,7.7,5.78,6.32
CH2,04/10/2022,Laguna de Terminos,Laguna media,18.5488,-91.5782,Lluvias,29.62,22.12,7.21,2.6,1.76
CH3,04/10/2022,Laguna de Terminos,Laguna central,18.6216,-91.6182,Lluvias,29.81,23.56,7.08,3.79,2.49
C1,05/10/2022,Laguna de Terminos,Rio,18.6399,-91.3173,Lluvias,29.94,13.78,7.35,4.24,4.85
C2,05/10/2022,Laguna de Terminos,Laguna media,18.6858,-91.3792,Lluvias,29.42,18.33,7.25,3.5,4.3
C3,05/10/2022,Laguna de Terminos,Laguna central,18.732,-91.4467,Lluvias,29.72,20.55,6.61,3.6,5.82
PR,05/10/2022,Laguna de Terminos,Boca de la laguna,18.7735,-91.5072,Lluvias,29.029,25.53,5.96,1.65,2.28
DC,05/10/2022,Laguna de Terminos,Boca de la laguna,18.6268,-91.8497,Lluvias,28.7,19.97,6.79,5.06,7
